Наименование работ
Долгосрочная аренда автомобиля Nissan X-Trail Е327НН198 период 01/03/22 - 24/03/22
Долгосрочная аренда автомобиля Kia Sportage В712УМ763 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Kia Sportage О204ВО761 период 01/03/22 - 31/03/22
Замена датчика даления в шине автомобиля Kia Sportage (86041) г/н О204ВО761
Долгосрочная аренда автомобиля VW Crafter К898ТК198 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля KIA SP2 (Seltos) С814УК799 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля KIA SP2 (Seltos) М202УХ799 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Renault Duster B284XC799 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Renault Duster B270XC799 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Renault Duster B168XC799 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Renault Duster К774ТК198 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Renault Duster К819ТК198 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Mitsubishi L200 2.4 К337ХН799 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Mitsubishi L200 2.4 К165ХН799 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Mitsubishi L200 2.4 О783ВО761 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Mitsubishi L200 2.4 Т015ХР799 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Mitsubishi L200 2.4 К002НМ134 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Kia Sportage Е842СР198 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Nissan X-Trail О440СХ799 период 01/03/22 - 31/03/22
Долгосрочная аренда автомобиля Nissan X-Trail Е028ХМ799 период 24/03/22 - 31/03/22
